abalan: abal
dark: gelap
segenap: genap
gen: generasi
brgerak: gerak
move: gerak
garcep: gerak cepat
gercep: gerak cepat
giga: gigabita
gigabyte: gigabita
gb: gigabyte
gendeng: gila
gilak: gila
gile: gila
koclok: gila
gliran: gilir
gontak: gonta
geogle: google
goggle: google
gogle: google
gugel: google
googleauth: google autentikasi
playstor: google play store
playstore: google play store
geratis: gratis
scrol: gulir
beguna: guna
bergguna: guna
berguana: guna
berguna: guna
beroprasi: guna
beroprasional: guna
dgunain: guna
dgunakan: guna
diapakai: guna
diapke: guna
digunain: guna
digunakn: guna
digunalan: guna
digunankan: guna
digunkaan: guna
dimainin: guna
dioperasiin: guna
dioperikan: guna
dioprasikan: guna
dioprasionalkan: guna
dipakaj: guna
dipake: guna
dipakein: guna
dipakek: guna
dipakeknya: guna
dipakenya: guna
dipke: guna
dpake: guna
dugunakan: guna
faedah: guna
gae: guna
gunain: guna
gunaka: guna
gunakam: guna
gunakan: guna
gunakn: guna
gunkaan: guna
kepake: guna
kpke: guna
mainin: guna
make: guna
makeknya: guna
makenya: guna
manngunakan: guna
menggunakn: guna
menggunaknanye: guna
menggunkan: guna
mengoprasikan: guna
mengukan: guna
mengunakan: guna
mengunakannya: guna
mggunakan: guna
mnggunakan: guna
mngunakan: guna
nemakai: guna
ngoperasiin: guna
oakek: guna
oengguna: guna
operasi: guna
operasional: guna
oprasi: guna
oprasiin: guna
oprasikan: guna
oprasinya: guna
oprasional: guna
oprasionalkan: guna
pakai: guna
pakaj: guna
pakak: guna
pake: guna
pakek: guna
pakenya: guna
pemakainnya: guna
pengaplikasinanya: guna
pengguan: guna
pengguanaan: guna
pengguna: guna
penggunaaan: guna
penggunaan: guna
penggunaanya: guna
penggunaat: guna
penggunannya: guna
penghuna: guna
pengopasiannya: guna
pengoperasianya: guna
pengoprasian: guna
pengoprasiannya: guna
pengoprasiannyanya: guna
penguna: guna
pengunaannya: guna
pengunanya: guna
pk: guna
pkai: guna
pke: guna
pkek: guna
terap: guna
use: guna
user: guna
usernya: guna
usser: guna
penggunakemudian: guna kemudian
habisin: habis
hbis: habis
ngaabisin: habis
ngabis: habis
ngabisiin: habis
ngabisin: habis
ngehabiskan: habis
timeout: habis waktu
ngadepin: hadap
ngehadapin: hadap
hadiir: hadir
hadirin: hadir
hal: halaman
halam: halaman
laman: halaman
hallo: halo
hello: halo
mengahambat: hambat
mengambat: hambat
menghabat: hambat
menghambat: hambat
menghmbat: hambat
meperhambat: hambat
mnghmbat: hambat
ngehambat: hambat
terhabad: hambat
menghabur: hambur
ngambur: hambur
ampir: hampir
hampi: hampir
hmpir: hampir
ajur: hancur
ancor: hancur
ancur: hancur
hancurre: hancur
hancuuuur: hancur
rungkad: hancur
runtuh: hancur
cm: hanya
cma: hanya
cmn: hanya
cuman: hanya
doank: hanya
hana: hanya
hnya: hanya
sekadar: hanya
skedar: hanya
apus: hapus
clear: hapus
cler: hapus
delete: hapus
dihapus: hapus
dihapusin: hapus
hps: hapus
hpus: hapus
ngapus: hapus
remove: hapus
kampang: haram
arep: harap
brharap: harap
hargadirinya: harga ditigal
dino: hari
harin: hari
harj: hari
hr: hari
hri: hari
berharihari: hari hari
hariha: hari laksana
harihahnya: hari laksana
hrh: hari laksana
haris: harus
harisdi: harus
harrusnya: harus
haru: harus
harua: harus
haruse: harus
harusny: harus
harusya: harus
hrs: harus
hrsnya: harus
hrus: harus
hrusny: harus
hrusnya: harus
hsrusnya: harus
kudu: harus
kudune: harus
mesti: harus
musti: harus
sehararusnya: harus
shrusnya: harus
alhasil: hasil
berhasi: hasil
berhasilny: hasil
berhsil: hasil
brhasil: hasil
generate: hasil
hasilny: hasil
hsil: hasil
output: hasil
atensi: hati
diperhatikan: hati
perhatikan: hati
ontran: heboh
ontranmu: heboh
he: heh
stop: henti
life: hidup
ijo: hijau
ilang: hilang
lost: hilang
mengghina: hina
history: histori
item: hitam
count: hitung
dhitung: hitung
itungan: hitung
mengitung: hitung
mnghitung: hitung
ngitung: hitung
peehitungan: hitung
penghitsunya: hitung
penghitunan: hitung
quickcount: hitung cepat
quikcount: hitung cepat
tungsura: hitung suara
hhhhm: hm
hmz: hm
hosting: host
assosiastid: hubung
brhubungan: hubung
hubungin: hubung
menyakut: hubung
bu: ibu
buk: ibu
ibuk: ibu
ibukyg: ibu yang
ngide: ide
identikasi: identifikasi
ikt: ikut
ikutin: ikut
menguti: ikut
ngikuti: ikut
ngikutin: ikut
himbauan: imbau
imingi: iming
import: impor
inport: import
nginep: inap
ind: indonesia
indo: indonesia
indonesi: indonesia
isndonesia: indonesia
konoha: indonesia
wakanda: indonesia
im: indosat
infoin: info
imformasi: informasi
info: informasi
aiti: informasi dan teknologi
it: informasi dan teknologi
ite: informasi dan teknologi
itnya: informasi dan teknologi
fyi: informasi untuk anda
infra: infrastruktur
peringatannya: ingat
peringatanya: ingat
kepengen: ingin
mo: ingin
mu: ingin
mw: ingin
nak: ingin
pengen: ingin
pengennya: ingin
pengin: ingin
pingin: ingin
pinginnya: ingin
kebelet: ingin kali
monangis: ingin tangis
ancen: ini
ieu: ini
iki: ini
inih: ini
inimah: ini
inimh: ini
inis: ini
inisih: ini
inj: ini
inni: ini
iyeu: ini
ki: ini
ni: ini
nie: ini
uni: ini
anisialisasi: inisialisasi
diinisilasasi: inisialisasi
inalisasi: inisialisasi
inalisasinya: inisialisasi
inelisasi: inisialisasi
inialisasi: inisialisasi
iniliasasi: inisialisasi
iniliasi: inisialisasi
inilisasi: inisialisasi
inilisiasi: inisialisasi
inisalisasi: inisialisasi
inisial: inisialisasi
inisialiasi: inisialisasi
inisialilasi: inisialisasi
inisialisaai: inisialisasi
inisialisai: inisialisasi
inisialisali: inisialisasi
inisialisanya: inisialisasi
inisialisasai: inisialisasi
inisialisasinya: inisialisasi
inisialosasinya: inisialisasi
inisialusasi: inisialisasi
inisiasi: inisialisasi
inisilaisasi: inisialisasi
inisilasi: inisialisasi
inisiliasi: inisialisasi
inisilisasi: inisialisasi
insalasi: inisialisasi
insialisasai: inisialisasi
insialisasi: inisialisasi
insiliasasi: inisialisasi
instilisasi: inisialisasi
isialisasi: inisialisasi
mengitifikasi: inisialisasi
terinisialisai: inisialisasi
inovatif: inovasi
trobosan: inovasi
diinput: input
diinpuy: input
entri: input
entries: input
inputan: input
kimput: input
mengimfut: input
menginput: input
nginput: input
penginputan: input
penginputannya: input
ig: instagram
instant: instan
intansi: instansi
intruksi: instruksi
insha: insyaallah
insya: insyaallah
insyallah: insyaallah
integration: integrasi
teregriatasi: integrasi
terinteritag: integrasi
keintrgritasan: integritas
inteernal: internal
connection: internet
hitspot: internet
hostpot: internet
hotspot: internet
internetnya: internet
jar: internet
jariangan: internet
jaring: internet
jaringan: internet
jaringannya: internet
jaringanya: internet
jringan: internet
jrinya: internet
kouta: internet
kuata: internet
kuota: internet
qouta: internet
quota: internet
tethering: internet
wifi: internet
instropeksi: introspeksi
ip: iphone
ipone: iphone
isiny: isi
mngisi: isi
ngisi: isi
ngisinya: isi
bini: istri
iti: itu
itumah: itu
kae: itu
itugagal: itu gagal
ituajah: itu saja
eya: iya
ia: iya
enable: izin
ijin: izin
ijingkan: izin
dijadiin: jadi
jad: jadi
jadiin: jadi
jd: jadi
jdi: jadi
jdinya: jadi
jdnya: jadi
tarjadinya: jadi
terjadai: jadi
terjdi: jadi
trjadi: jadi
trjdi: jadi
jaktim: jakarta timur
bejalan: jalan
jalanin: jalan
jalanna: jalan
jalanya: jalan
jalur: jalan
mnjlankan: jalan
ngejalanin: jalan
run: jalan
dijapri: jalur pribadi
bejam: jam
beriam: jam
jama: jam
jem: jam
jm: jam
ngejamin: jamin
qa: jamin kualitas
jkn: jamin sehat nasional
iangan: jangan
jagan: jangan
jagn: jangan
jamgan: jangan
janagan: jangan
janga: jangan
jangab: jangan
jangam: jangan
jangan: jangan
jangn: jangan
jgan: jangan
jgn: jangan
jgnkan: jangan
jnagn: jangan
jng: jangan
jngan: jangan
jngn: jangan
jngnlaah: jangan
ojo: jangan
eman: jangan sampai
fingert: jari
ginger: jari
jarilah: jari
pinger: jari
pinjer: jari
jariwarga: jari warga
network: jaring
jatohnya: jatuh
jauhhari: jauh hari
jabawannya: jawab
jawabannnya: jawab
jwbn: jawab
freze: jebak
ngestuck: jebak
nyetuk: jebak
sruck: jebak
stack: jebak
stak: jebak
stuck: jebak
clarity: jelas
danta: jelas
genah: jelas
jels: jelas
jes: jelas
jlas: jelas
jllas: jelas
jls: jelas
penjelasanny: jelas
bapuk: jelek
bluk: jelek
buluk: jelek
elek: jelek
gembel: jelek
jeleek: jelek
jellek: jelek
jlek: jelek
kentang: jelek
terok: jelek
uwelek: jelek
njelimet: jelimet
jengekl: jengkel
if: jika
jk: jika
kika: jika
jikalau: jika kalau
jikallau: jika kalau
djiwa: jiwa
joran: jor
didagangakan: jual
selernya: jual
judionlen: judi online
judol: judi online
jg: juga
jga: juga
jua: juga
jug: juga
jugal: juga
ogeh: juga
jurdil: jujur adil
jutru: justru
jt: juta
jtaan: juta
jtan: juta
kabarin: kabar
kab: kabupaten
blur: kabur
buram: kabur
burem: kabur
bureng: kabur
ngeblur: kabur
kacauuuuiu: kacau
keos: kacau
ngaco: kacau
ngaur: kacau
ngetrol: kacau
prank: kacau
sangsot: kacau
kdg: kadang
kedang: kadang
terkadang: kadang
sekedar: kadar
akah: kah
kh: kah
tah: kah
ka: kakak
kak: kakak
kaka: kakak
klh: kalah
kslah: kalah
ngalahin: kalah
nglah: kalah
kalng: kalang
kal: kalau
kalaupun: kalau
kalaw: kalau
kalay: kalau
kalo: kalau
kalok: kalau
kalou: kalau
kalu: kalau
kl: kalau
klaau: kalau
klau: kalau
klo: kalau
kloe: kalau
klok: kalau
klopun: kalau
klou: kalau
klu: kalau
klw: kalau
lw: kalau
berkakali: kali
kalih: kali
kli: kali
sekli: kali
skali: kali
skli: kali
skliny: kali
syekali: kali
x: kali
kelen: kalian
klian: kalian
kalsel: kalimantan selatan
calculator: kalkulator
camera: kamera
camerannya: kamera
cameranya: kamera
kamara: kamera
kamer: kamera
kamerane: kamera
kameranya: kamera
kamernya: kamera
kemera: kamera
kmera: kamera
widecamera: kamera lebar
kapi: kami
kmi: kami
koe: kamu
you: kamu
kbbi: kamus besar bahasa indonesia
kam: kan
kn: kan
ngantuk: kantuk
ngantuknya: kantuk
bilamana: kapan
kpan: kapan
karbitan: karbit
coalnya: karena
dikarekan: karena
dikrnkan: karena
grgr: karena
kaeena: karena
karan: karena
karenan: karena
karna: karena
karnah: karena
karnakan: karena
kerana: karena
kerena: karena
kerna: karena
krana: karena
krn: karena
krna: karena
perkars: karena
soale: karena
soalny: karena
soalnys: karena
solanya: karena
ktp: kartu tanda duduk
karuan: karu
kasaaaaaaaaar: kasar
kash: kasih
kasiaaan: kasih
kasiaan: kasih
kasihan: kasih
kasiiiaaaaaaaaaan: kasih
kasing: kasih
kesian: kasih
ksh: kasih
ksih: kasih
lasih: kasih
ngasih: kasih
sakno: kasih
kasimasuk: kasih masuk
spil: kasih tahu
dikatain: kata
kantanyah: kata
katany: kata
katanya: kata
katnya: kata
kta: kata
ktanya: kata
ktnya: kata
aspord: kata sandi
assword: kata sandi
faspord: kata sandi
faspwort: kata sandi
fasswoad: kata sandi
faswodnya: kata sandi
fasword: kata sandi
fw: kata sandi
oaswird: kata sandi
paaword: kata sandi
parword: kata sandi
pasaod: kata sandi
pasdword: kata sandi
pasfor: kata sandi
paspord: kata sandi
pasport: kata sandi
passnya: kata sandi
passoword: kata sandi
passsword: kata sandi
passw: kata sandi
passwod: kata sandi
passwodnya: kata sandi
password: kata sandi
passwordnya: kata sandi
pasw: kata sandi
pasward: kata sandi
paswewrd: kata sandi
paswoard: kata sandi
paswod: kata sandi
paswode: kata sandi
paswodnya: kata sandi
pasword: kata sandi
paswordnya: kata sandi
paswornya: kata sandi
paswort: kata sandi
paswot: kata sandi
paswowr: kata sandi
paswrd: kata sandi
paswword: kata sandi
pqsword: kata sandi
pswd: kata sandi
psword: kata sandi
pswrd: kata sandi
pw: kata sandi
pwd: kata sandi
pwnya: kata sandi
sandi: kata sandi
kenya: kayak
k: ke
le: ke
teng: ke
kebon: kebun
kec: kecamatan
mengecewaka: kecewa
mengngecewakan: kecewa
keculai: kecuali
exp: kedaluwarsa
kadaluarsa: kedaluwarsa
kadarluarsa: kedaluwarsa
kedaluarsa: kedaluwarsa
dzolim: kejam
kejer: kejar
kalas: kelas
kaliber: kelas
kelaaaassa: kelas
kelaz: kelas
sekelas: kelas
sklas: kelas
sklelas: kelas
klinci: kelinci
kelolak: kelola
ngelola: kelola
gurup: kelompok
kkps: kelompok selenggara pungut suara
kpps: kelompok selenggara pungut suara
kppsny: kelompok selenggara pungut suara
kppsnya: kelompok selenggara pungut suara
kps: kelompok selenggara pungut suara
aut: keluar
kelogout: keluar
keluarn: keluar
kelur: keluar
kluar: keluar
kluaran: keluar
kluer: keluar
logot: keluar
logout: keluar
logoutnya: keluar
loguot: keluar
logut: keluar
ngeluarin: keluar
ngluarin: keluar
ot: keluar
out: keluar
outlah: keluar
singout: keluar
tekeluar: keluar
terlogout: keluar
complain: keluh
mengeluh: keluh
ngeluh: keluh
kel: kelurahan
kmn: kemana
kemaren: kemarin
kmaren: kemarin
kmarin: kemarin
kmren: kemarin
kmrin: kemarin
kmrn: kemarin
kemarinsebelum: kemarin belum
kmbli: kembali
rollback: kembali
mengembngkn: kembang
kemudia: kemudian
kmdian: kemudian
kmudian: kemudian
dikenali: kenal
mengenali: kenal
angpa: kenapa
kanapa: kenapa
kenaap: kenapa
kenap: kenapa
kenapah: kenapa
kenapasih: kenapa
kenpa: kenapa
kenph: kenapa
kepana: kenapa
kna: kenapa
knap: kenapa
knapa: kenapa
knapah: kenapa
knp: kenapa
knpa: kenapa
knpasih: kenapa
kunaon: kenapa
mengapa: kenapa
mngpa: kenapa
napa: kenapa
ngapa: kenapa
why: kenapa
kenala: kendala
qc: kendali kualitas
kpada: kepada
kpd: kepada
bala: kepala
pala: kepala
dkerjain: kerja
gawe: kerja
job: kerja
jobdes: kerja
jobs: kerja
joob: kerja
kerjaanya: kerja
kerjane: kerja
kerjian: kerja
kerjo: kerja
krja: kerja
merngerjakanya: kerja
ngerjain: kerja
ngerjainnya: kerja
pekerjaaan: kerja
pekerjana: kerja
pkerjaan: kerja
pkrjaan: kerja
prkerjaan: kerja
work: kerja
works: kerja
bagusjob: kerja bagus
goodjob: kerja bagus
bekerjasama: kerja sama
kerjasama: kerja sama
kerjasamanya: kerja sama
sinergi: kerjasama
gedheg: kesal
gemes: kesal
geram: kesal
greget: kesal
huuf: kesal
huuuffffft: kesal
huuh: kesal
huuuuh: kesal
kesel: kesal
ngeselin: kesal
kesan: kesan
kesany: kesan
kesanya: kesan
terkesan: kesan
ngetik: ketik
dsaat: ketika
jetika: ketika
katika: ketika
ktka: ketika
kwtika: ketika
pas: ketika
pz: ketika
when: ketika
dikawatirkan: khawatir
hawatir: khawatir
kawatir: khawatir
kawatirnya: khawatir
menghawatirkan: khawatir
hususnya: khusus
hususnys: khusus
khusunya: khusus
skian: kian
kb: kilobita
km: kilometer
kirain: kira
sekira: kira
sekirannya: kira
sekiranya: kira
kiraknapa: kira kenapa
disabmit: kirim
kirimin: kirim
krim: kirim
krm: kirim
mensubmit: kirim
ngesubmit: kirim
ngirim: kirim
post: kirim
posting: kirim
postingan: kirim
submit: kirim
sumbit: kirim
kjta: kita
kt: kita
klasmen: klasemen
client: klien
klick: klik
menklik: klik
ngeklik: klik
tap: klik
autoklik: klik otomatis
code: kode
coding: kode
codingan: kode
ngoding: kode
ngodingnya: kode
barcode: kode batang
ko: kok
kog: kok
koh: kok
koook: kok
koq: kok
kox: kok
kq: kok
qo: kok
collab: kolaborasi
comen: komentar
coment: komentar
command: komentar
comment: komentar
komen: komentar
komenan: komentar
komennya: komentar
koment: komentar
komentar: komentar
ulas: komentar
kpk: komisi berantas korupsi
kekpu: komisi pilih umum
kpu: komisi pilih umum
kpuku: komisi pilih umum
kpunya: komisi pilih umum
pku: komisi pilih umum
kpumelayani: komisi pilih umum layan
kpuperluberbenah: komisi pilih umum perlu baik
kompatibilitas: kompatibel
kompatible: kompatibel
kompetibel: kompatibel
kompetible: kompatibel
komplen: komplain
komplin: komplain
dikompres: kompres
kompresi: kompres
kondisional: kondisi
kosndikan: kondisi
konektion: koneksi
config: konfigurasi
terkomfirmasi: konfirmasi
kosentrasi: konsentrasi
konsum: konsumsi
kontestasi: kontes
ngopi: kopi
kor: korupsi
korapsi: korupsi
korup: korupsi
blang: kosong
blank: kosong
kopong: kosong
kosongin: kosong
lowong: kosong
luang: kosong
ngosongin: kosong
box: kotak
eek: kotor
podol: kotor
sheet: kotor
taek: kotor
tai: kotor
taik: kotor
tain: kotor
tatai: kotor
telek: kotor
tembelek: kotor
kuaalitas: kualitas
kualitanya: kualitas
kualitasnyya: kualitas
kualits: kualitas
kualtas: kualitas
kualtisx: kualitas
kuliats: kualitas
kulitas: kualitas
kwalitas: kualitas
mutu: kualitas
kuaaaat: kuat
kuatin: kuat
poweful: kuat
powernya: kuat
key: kunci
keycloack: kunci
kuncina: kunci
lock: kunci
ngunci: kunci
scretkey: kunci rahasia
kekeurangan: kurang
kekuranganya: kurang
kekurnganya: kurang
kekurngn: kurang
kkurangan: kurang
kuranh: kurang
kureng: kurang
kurung: kurang
mines: kurang
minim: kurang
minus: kurang
reduce: kurang
kudet: kurang baru
kurleb: kurang lebih
menguras: kuras
nguras: kuras
berlebel: label
ngeladenin: laden
gleag: lag
lagging: lag
leg: lag
negalag: lag
ngelag: lag
ngelagnya: lag
ngeleg: lag
ngelek: lag
nglag: lag
nglegnya: lag
lagih: lagi
lagiy: lagi
lg: lagi
lgi: lagi
selagi: lagi
hla: lah
la: lah
laaah: lah
laen: lain
lainya: lain
ha: laksana
palaksanaan: laksana
pelak: laksana
pelaksaan: laksana
pelaksanaanya: laksana
pelaksanaanyah: laksana
pelksanaannya: laksana
dilakuin: laku
dilakukukan: laku
dlakukan: laku
lakuin: laku
melkukan: laku
terllalu: lalu
terllau: lalu
terllu: lalu
trlalu: lalu
traffic: lalu lintas
trafic: lalu lintas
terlalumemaksakan: lalu paksa
klamaan: lama
laaama: lama
laammma: lama
lamaanya: lama
lma: lama
luama: lama
lwma: lama
slm: lama
iemot: lambat
kelemotan: lambat
kelemotanya: lambat
keong: lambat
lalod: lambat
lalot: lambat
lambaaaat: lambat
lamban: lambat
lanbat: lambat
leemmmooot: lambat
leemot: lambat
lelet: lambat
lemmot: lambat
lemo: lambat
lemod: lambat
lemooot: lambat
lemoot: lambat
lemot: lambat
lemote: lambat
lemotnya: lambat
lot: lambat
macet: lambat
mampet: lambat
mancet: lambat
memeprlambat: lambat
memperkambat: lambat
meperlambat: lambat
mmperlambat: lambat
siput: lambat
slow: lambat
terlambat: lambat
flash: lampu kilat
flashnya: lampu kilat
flasnya: lampu kilat
kelancarannya: lancar
kelancaranya: lancar
klancaran: lancar
laancar: lancar
lancan: lancar
langcar: lancar
lncar: lancar
lncr: lancar
customer: langgan
angkah: langkah
lngkah: langkah
selangkah: langkah
step: langkah
laangsung: langsung
lanfsung: langsung
langsg: langsung
langsng: langsung
langusng: langsung
lansung: langsung
lgs: langsung
lgsg: langsung
lngsng: langsung
lngsung: langsung
lnsng: langsung
lsg: langsung
luber: langsung umum bebas rahasia
continiu: lanjut
continue: lanjut
lanjutin: lanjut
ljut: lanjut
lnjuti: lanjut
next: lanjut
selanjunya: lanjut
dilapngan: lapang
dilapngn: lapang
lapngn: lapang
berlapis: lapis
lap: lapor
report: lapor
lapto: laptop
leptop: laptop
ngelawak: lawak
kelayakanya: layak
selayakna: layak
cs: layan langgan
lyr: layar
screen: layar
ultawide: lebar
ultrawide: lebar
ultrawidenya: lebar
wide: lebar
bandwidth: lebar pita
bandwidthnya: lebar pita
bandwith: lebar pita
kebih: lebih
lbh: lebih
lbih: lebih
lebuh: lebih
leih: lebih
telebih: lebih
trlebih: lebih
maladak: ledak
meledak: ledak
legend: legends
leumah: lemah
soak: lemah
overtime: lembur
los: lepas
belepotan: lepot
peletakan: letak
by: lewat
over: lewat
skip: lewat
overload: lewat batas
keliatanya: lihat
kliatan: lihat
liat: lihat
mandang: lihat
ngelihat: lihat
double: lipat ganda
ngelog: log
dialogis: logis
hlo: loh
laah: loh
lh: loh
lha: loh
lho: loh
lok: loh
local: lokal
alokasi: lokasi
mlorot: lorot
luarbiasa: luar biasa
dperluas: luas
badut: lucu
kocaak: lucu
kocag: lucu
kocak: lucu
kocaq: lucu
lawak: lucu
lawk: lucu
lol: lucu
lucunya: lucu
ngakak: lucu
terluka: luka
mayan: lumayan
dijajakan: luncur
dikomersilkan: luncur
dilaunching: luncur
dilauncing: luncur
diluncurin: luncur
dipublish: luncur
direlis: luncur
distribusi: luncur
edar: luncur
komersialisasi: luncur
launch: luncur
launching: luncur
launchingkan: luncur
launcing: luncur
lonching: luncur
louncing: luncur
luncurin: luncur
mluncur: luncur
pasar: luncur
pubik: luncur
publikasi: luncur
publis: luncur
publisasikan: luncur
publish: luncur
realese: luncur
release: luncur
rilis: luncur
terbit: luncur
forgot: lupa
lupapaswod: lupa kata sandi
maap: maaf
maf: maaf
mf: maaf
mff: maaf
sori: maaf
sorry: maaf
mabok: mabuk
brmacam: macam
macem: macam
macqm: macam
mcem: macam
mcm: macam
mcmap: macam apa
maggang: magang
ma: mah
mh: mah
mehong: mahal
maen: main
played: main
makanya: maka
mangkanya: maka
mamam: makan
mkn: makan
kian: makin
majin: makin
mangkin: makin
mkin: makin
mqkin: makin
semaik: makin
semaki: makin
smkin: makin
micro: makro
dimaksimalin: maksimal
dimaxsimalkan: maksimal
maksimalin: maksimal
maksiml: maksimal
maksmil: maksimal
maximal: maksimal
maximalnya: maksimal
maximilian: maksimal
maksdnya: maksud
maksudnyah: maksud
maksutnya: maksud
mksdnya: maksud
mksudnya: maksud
mahalh: malah
makh: malah
mala: malah
malaha: malah
malahlan: malah
malak: malah
malh: malah
mlah: malah
mlahan: malah
mlh: malah
mlhan: malah
palah: malah
palahan: malah
plh: malah
malem: malam
maleman: malam
malm: malam
mlam: malam
mlm: malam
semalem: malam
semlm: malam
smlem: malam
smlm: malam
smlman: malam
males: malas
malesin: malas
mls: malas
magel: malas gerak
maluin: malu
mampi: mampu
mmpu: mampu
dikemanain: mana
mama: mana
bermamfaat: manfaat
keberanfaatan: manfaat
manipulatif: manipulasi
awesome: mantap
edan: mantap
edhan: mantap
gg: mantap
joooos: mantap
jooos: mantap
jos: mantap
josd: mantap
joss: mantap
joz: mantap
mamtaf: mantap
mamtap: mantap
manatap: mantap
mangap: mantap
manntaps: mantap
manrap: mantap
manraps: mantap
mantaaaaaap: mantap
mantaaaap: mantap
mantaaab: mantap
mantaaap: mantap
mantaab: mantap
mantaap: mantap
mantab: mantap
mantaf: mantap
mantao: mantap
mantapin: mantap
mantapl: mantap
mantaps: mantap
mantav: mantap
mantep: mantap
mantsp: mantap
manttep: mantap
mantup: mantap
matap: mantap
mntap: mantap
mtap: mantap
muaaaantab: mantap
muantap: mantap
muantappo: mantap
paten: mantap
tooooooooop: mantap
top: mantap
mantul: mantap betul
mmbantu: mantu
manua: manual
manulan: manual
murka: marah
ngomel: marah
masbro: mas
masse: mas
masseh: mas
maszeh: mas
masah: masa
masak: masa
mosok: masa
msa: masa
msak: masa
bermaslaah: masalah
bermsalah: masalah
issue: masalah
kemdala: masalah
kendala: masalah
kndal: masalah
kndala: masalah
masalahe: masalah
masalhnya: masalah
maslahnya: masalah
maslh: masalah
msalah: masalah
mslah: masalah
mslhnya: masalah
perkara: masalah
permasalahanyya: masalah
permasalahn: masalah
permasalahnnya: masalah
permaslhn: masalah
problem: masalah
problematik: masalah
terkedala: masalah
trabel: masalah
trobel: masalah
trobelnya: masalah
troble: masalah
trouble: masalah
troublenya: masalah
trubel: masalah
keneh: masih
maaih: masih
madih: masih
mash: masih
masik: masih
masjh: masih
msh: masih
msi: masih
msih: masih
kemasing: masing
masal: massal
dilogin: masuk
diloginkan: masuk
dimasukin: masuk
dimsukkn: masuk
dmasukin: masuk
in: masuk
innya: masuk
lagin: masuk
lgin: masuk
ligin: masuk
loggin: masuk
logging: masuk
loghin: masuk
logiin: masuk
logik: masuk
logiknya: masuk
login: masuk
logine: masuk
loging: masuk
logingnya: masuk
loginkan: masuk
loginmya: masuk
loginnya: masuk
loginya: masuk
lojin: masuk
loogin: masuk
maauk: masuk
maduknya: masuk
mask: masuk
masoek: masuk
masok: masuk
masu: masuk
masuh: masuk
masukanya: masuk
masukin: masuk
masukinnya: masuk
masukkin: masuk
masukkn: masuk
masukknya: masuk
masukny: masuk
masuknya: masuk
masukya: masuk
masul: masuk
melogin: masuk
meloginnya: masuk
memasukan: masuk
memasuki: masuk
mlebu: masuk
msk: masuk
msuk: masuk
msukin: masuk
msuknya: masuk
sumasukan: masuk
masukmlagi: masuk lagi
logingnyamasih: masuk masih
loginsegala: masuk segala
masya: masyaallah
masyaalloh: masyaallah
masyallah: masyaallah
masyarkat: masyarakat
matak: mata
matiin: mati
off: mati
may: mau
msu: mau
mbak: mba
mbokya: mbok
mb: megabita
mbps: megabita per detik
megapixels: megapiksel
mp: megapiksel
emang: memang
emank: memang
emg: memang
emng: memang
mang: memang
mank: memang
memamg: memang
memnag: memang
menmang: memang
mmg: memang
mmng: memang
memo: memori
memory: memori
memmper: memper
meding: mending
mening: mending
mnding: mending
mwnding: mending
menajdi: menjadi
menjdi: menjadi
mnjadi: menjadi
mendal: mental
kominfo: menteri komunikasi dan informasi
menkominfo: menteri komunikasi dan informatika
mntk: mentok
ngadat: mentok
merk: merek
merka: mereka
miliyaran: miliar
milyar: miliar
milyaran: miliar
mnggu: minggu
diminimalisir: minimal
meminimalisir: minimal
minimalisir: minimal
minimum: minimal
meminilisir: minimalisir
mina: minta
mintak: minta
mita: minta
mnta: minta
request: minta
requst: minta
andai: misal
semisaal: misal
smisal: misal
ml: mobile legends
mobilelgen: mobile legends
modalin: modal
moderenisasi: modern
modernisasi: modern
mdhwn: moga
mg: moga
semog: moga
semogah: moga
smg: moga
smga: moga
smoga: moga
goodluck: moga untung
kindly: mohon
mhn: mohon
mhon: mohon
mobon: mohon
mohan: mohon
mohin: mohon
mohob: mohon
mohol: mohon
mon: mohon
moment: momen
momentum: momen
emmuat: muat
mubasir: mubazir
dipermudh: mudah
gampang: mudah
gmpang: mudah
kmudahan: mudah
leluasa: mudah
mdh: mudah
memeprmudah: mudah
mempeermudah: mudah
memperdah: mudah
mempermuda: mudah
mempermudah: mudah
mempermudan: mudah
mempermudsh: mudah
mempermufah: mudah
mempernudah: mudah
memprmudah: mudah
mempudah: mudah
memudahkn: mudah
memudhkan: mudah
mepermudah: mudah
mmempermudah: mudah
mmpermudah: mudah
mmprmudah: mudah
mpermudah: mudah
mudahn: mudah
mudan: mudah
mundah: mudah
ngringanin: mudah
pelancar: mudah
permudab: mudah
xhan: mudah
mlai: mulai
mlu: mulu
seamles: mulus
semles: mulus
mncul: muncul
munculah: muncul
munculin: muncul
nongol: muncul
mgkin: mungkin
mgkn: mungkin
mngkin: mungkin
mukin: mungkin
mungin: mungkin
pengungutan: mungut
gumoh: muntah
season: musim
musuhbesar: musuh besar
dinaikin: naik
naikin: naik
jenenge: nama
name: nama
nma: nama
uname: nama guna
unsername: nama guna
usarname: nama guna
usename: nama guna
username: nama guna
usernamenya: nama guna
usernem: nama guna
usernmae: nama guna
usn: nama guna
usname: nama guna
usnm: nama guna
ussername: nama guna
usurename: nama guna
usurname: nama guna
namung: namun
latter: nanti
nantimya: nanti
nantu: nanti
nati: nanti
nnt: nanti
nnti: nanti
